NAME,CODE,YEAR,VALUE
Brazil,BRA,1981,58.0
Brazil,BRA,1982,58.4
Brazil,BRA,1983,59.0
Brazil,BRA,1984,58.4
Brazil,BRA,1985,55.6
Brazil,BRA,1986,58.5
Brazil,BRA,1987,59.7
Brazil,BRA,1988,61.4
Brazil,BRA,1989,63.3
Brazil,BRA,1990,60.5
Brazil,BRA,1992,53.2
Brazil,BRA,1993,60.1
Brazil,BRA,1995,59.6
Brazil,BRA,1996,59.9
Brazil,BRA,1997,59.8
Brazil,BRA,1998,59.6
Brazil,BRA,1999,59.0
Brazil,BRA,2001,58.4
Brazil,BRA,2002,58.1
Brazil,BRA,2003,57.6
Brazil,BRA,2004,56.5
Brazil,BRA,2005,56.3
Brazil,BRA,2006,55.6
Brazil,BRA,2007,54.9
Brazil,BRA,2008,54.0
Brazil,BRA,2009,53.7
Brazil,BRA,2011,52.9
Brazil,BRA,2012,52.6
Brazil,BRA,2013,52.8
Brazil,BRA,2014,51.5
Brazil,BRA,2015,51.3
