NAME,CODE,YEAR,VALUE
El Salvador,SLV,1991,54.0
El Salvador,SLV,1995,49.9
El Salvador,SLV,1996,51.0
El Salvador,SLV,1998,54.5
El Salvador,SLV,1999,52.2
El Salvador,SLV,2000,51.5
El Salvador,SLV,2001,51.4
El Salvador,SLV,2002,51.9
El Salvador,SLV,2003,50.4
El Salvador,SLV,2004,47.8
El Salvador,SLV,2005,48.5
El Salvador,SLV,2006,45.7
El Salvador,SLV,2007,45.2
El Salvador,SLV,2008,46.9
El Salvador,SLV,2009,45.8
El Salvador,SLV,2010,43.5
El Salvador,SLV,2011,42.3
El Salvador,SLV,2012,41.8
El Salvador,SLV,2013,43.4
El Salvador,SLV,2014,41.6
El Salvador,SLV,2015,40.6
El Salvador,SLV,2016,40.0
