NAME,CODE,YEAR,VALUE
Honduras,HND,1989,59.5
Honduras,HND,1990,57.4
Honduras,HND,1991,51.9
Honduras,HND,1992,51.8
Honduras,HND,1993,53.5
Honduras,HND,1994,55.0
Honduras,HND,1995,55.5
Honduras,HND,1996,55.7
Honduras,HND,1997,52.7
Honduras,HND,1998,57.4
Honduras,HND,1999,55.4
Honduras,HND,2001,55.2
Honduras,HND,2002,55.7
Honduras,HND,2003,58.1
Honduras,HND,2004,58.1
Honduras,HND,2005,59.5
Honduras,HND,2006,57.5
Honduras,HND,2007,55.8
Honduras,HND,2008,55.5
Honduras,HND,2009,51.3
Honduras,HND,2010,53.1
Honduras,HND,2011,56.2
Honduras,HND,2012,56.1
Honduras,HND,2013,52.6
Honduras,HND,2014,50.4
Honduras,HND,2015,49.6
Honduras,HND,2016,50.0
