NAME,CODE,YEAR,VALUE
Kyrgyz Republic,KGZ,1998,46.4
Kyrgyz Republic,KGZ,2000,31.0
Kyrgyz Republic,KGZ,2001,30.2
Kyrgyz Republic,KGZ,2002,30.3
Kyrgyz Republic,KGZ,2003,28.7
Kyrgyz Republic,KGZ,2004,34.8
Kyrgyz Republic,KGZ,2005,32.6
Kyrgyz Republic,KGZ,2006,37.4
Kyrgyz Republic,KGZ,2007,33.9
Kyrgyz Republic,KGZ,2008,31.5
Kyrgyz Republic,KGZ,2009,29.9
Kyrgyz Republic,KGZ,2010,30.1
Kyrgyz Republic,KGZ,2011,27.8
Kyrgyz Republic,KGZ,2012,27.4
Kyrgyz Republic,KGZ,2013,28.8
Kyrgyz Republic,KGZ,2014,26.8
Kyrgyz Republic,KGZ,2015,29.0
Kyrgyz Republic,KGZ,2016,26.8
