NAME,CODE,YEAR,VALUE
Panama,PAN,1979,48.7
Panama,PAN,1989,58.9
Panama,PAN,1991,58.2
Panama,PAN,1995,57.8
Panama,PAN,1997,58.2
Panama,PAN,1998,57.5
Panama,PAN,1999,56.5
Panama,PAN,2000,56.8
Panama,PAN,2001,56.9
Panama,PAN,2002,56.2
Panama,PAN,2003,55.8
Panama,PAN,2004,54.9
Panama,PAN,2005,53.9
Panama,PAN,2006,54.7
Panama,PAN,2007,52.8
Panama,PAN,2008,53.4
Panama,PAN,2009,51.9
Panama,PAN,2010,51.7
Panama,PAN,2011,51.4
Panama,PAN,2012,51.8
Panama,PAN,2013,51.5
Panama,PAN,2014,50.6
Panama,PAN,2015,50.8
Panama,PAN,2016,50.4
