NAME,CODE,YEAR,VALUE
Russian Federation,RUS,1993,48.4
Russian Federation,RUS,1996,46.1
Russian Federation,RUS,1997,38.4
Russian Federation,RUS,1998,38.1
Russian Federation,RUS,1999,37.4
Russian Federation,RUS,2000,37.1
Russian Federation,RUS,2001,36.9
Russian Federation,RUS,2002,37.3
Russian Federation,RUS,2003,40.0
Russian Federation,RUS,2004,40.3
Russian Federation,RUS,2005,41.3
Russian Federation,RUS,2006,41.0
Russian Federation,RUS,2007,42.3
Russian Federation,RUS,2008,41.6
Russian Federation,RUS,2009,39.8
Russian Federation,RUS,2010,39.5
Russian Federation,RUS,2011,39.7
Russian Federation,RUS,2012,40.7
Russian Federation,RUS,2013,40.9
Russian Federation,RUS,2014,39.9
Russian Federation,RUS,2015,37.7
