name,average
Chad,39.79999923706055
Fiji,39.25
Iraq,28.600000381469727
Mali,37.26666768391927
Peru,50.52999992370606
Togo,42.20000076293945
Benin,38.599998474121094
Chile,50.375
China,42.79999923706055
Gabon,42.20000076293945
Ghana,42.79999923706055
Italy,33.88571439470564
Japan,32.099998474121094
Kenya,46.5
Malta,29.100000381469727
Nepal,43.79999923706055
Niger,40.85000038146973
Samoa,42.0
Spain,33.45714296613421
Sudan,35.400001525878906
Tonga,37.60000038146973
Angola,47.35000038146973
Bhutan,39.5
Brazil,56.12222205268012
Canada,33.59999974568685
Cyprus,31.06666660308838
France,31.371428898402623
Greece,33.899998801095144
Guinea,41.20000076293945
Israel,40.53333409627279
Jordan,34.5
Kosovo,30.574999809265137
Latvia,36.93333371480306
Malawi,39.900001525878906
Mexico,48.31666692097982
Norway,28.071428843906947
Panama,54.73000068664551
Rwanda,50.25
Sweden,26.72857121058873
Turkey,40.4375
Uganda,44.1000010172526
Zambia,50.33333206176758
Albania,30.766667048136394
Armenia,32.755555894639755
Austria,30.014285768781388
Belarus,28.839999961853028
Belgium,28.871428625924246
Bolivia,55.888888888888886
Burundi,33.400001525878906
Comoros,55.900001525878906
Croatia,32.599998474121094
Denmark,25.6714289528983
Ecuador,52.55000066757202
Estonia,33.2000002179827
Finland,27.828571319580078
Georgia,37.91999969482422
Germany,30.41999931335449
Hungary,29.21666653951009
Iceland,29.142857142857142
Ireland,32.62857164655413
Jamaica,46.89999961853027
Lao PDR,34.0
Lesotho,51.599998474121094
Liberia,36.5
Moldova,35.38000068664551
Morocco,40.64999961853027
Namibia,62.14999961853027
Nigeria,41.54999923706055
Romania,37.27499961853027
Senegal,40.20000076293945
Tunisia,39.25
Ukraine,28.03749990463257
Uruguay,45.75
Vietnam,36.29999923706055
Botswana,62.599998474121094
Bulgaria,34.79999923706055
Cameroon,42.44999885559082
Colombia,55.43750047683716
Djibouti,40.0
Eswatini,52.29999923706055
Ethiopia,29.799999237060547
Honduras,56.2999996609158
Kiribati,37.0
Malaysia,45.8999989827474
Maldives,39.85000038146973
Mongolia,34.35000038146973
Pakistan,31.800000190734863
Paraguay,52.92222213745117
Portugal,37.48571450369699
Slovenia,24.449999809265137
Tanzania,38.79999923706055
Thailand,41.24285670689174
Argentina,48.619999694824216
Australia,34.13333384195963
Guatemala,54.39999961853027
Lithuania,35.733333587646484
Mauritius,35.70000076293945
Nicaragua,48.53333409627279
Sri Lanka,39.233333587646484
Azerbaijan,21.1
Bangladesh,33.30000114440918
Cabo Verde,49.85000038146973
Costa Rica,49.4
Kazakhstan,32.63333363003201
Luxembourg,31.0
Madagascar,43.650001525878906
Mauritania,38.300000508626304
Montenegro,30.620000076293945
Mozambique,46.29999923706055
Tajikistan,32.32499980926514
Uzbekistan,34.79999923706055
El Salvador,48.51000061035156
Netherlands,29.266666412353516
South Sudan,46.29999923706055
Switzerland,33.72500038146973
Timor-Leste,31.850000381469727
Burkina Faso,41.54999923706055
Sierra Leone,40.20000076293945
South Africa,61.86666742960612
"Congo, Rep.",47.29999923706055
"Gambia, The",47.29999923706055
"Korea, Rep.",32.0
"Yemen, Rep.",34.70000076293945
Cote d'Ivoire,42.25
Guinea-Bissau,35.599998474121094
United States,40.666666666666664
Czech Republic,26.60000006357829
United Kingdom,34.83333269755045
"Venezuela, RB",49.71666717529297
Kyrgyz Republic,32.03000011444092
Slovak Republic,26.68333339691162
Solomon Islands,46.099998474121094
"Macedonia, FYR",42.79999923706055
Papua New Guinea,41.900001525878906
"Congo, Dem. Rep.",42.20000076293945
"Egypt, Arab Rep.",31.449999809265137
Dominican Republic,50.3
Russian Federation,39.759999465942386
West Bank and Gaza,34.55999984741211
"Iran, Islamic Rep.",43.49999872843424
Syrian Arab Republic,35.79999923706055
Sao Tome and Principe,32.099998474121094
Bosnia and Herzegovina,32.36666615804037
"Micronesia, Fed. Sts.",42.400001525878906
Central African Republic,49.89999961853027
