NAME,CODE,YEAR,VALUE
Argentina,ARG,1980,40.8
Argentina,ARG,1986,42.8
Argentina,ARG,1987,45.3
Argentina,ARG,1991,46.8
Argentina,ARG,1992,45.5
Argentina,ARG,1993,44.9
Argentina,ARG,1994,45.9
Argentina,ARG,1995,48.9
Argentina,ARG,1996,49.5
Argentina,ARG,1997,49.1
Argentina,ARG,1998,50.7
Argentina,ARG,1999,49.8
Argentina,ARG,2000,51.1
Argentina,ARG,2001,53.3
Argentina,ARG,2002,53.8
Argentina,ARG,2003,50.7
Argentina,ARG,2004,48.3
Argentina,ARG,2005,47.7
Argentina,ARG,2006,46.6
Argentina,ARG,2007,46.3
Argentina,ARG,2008,44.5
Argentina,ARG,2009,43.9
Argentina,ARG,2010,43.0
Argentina,ARG,2011,42.3
Argentina,ARG,2012,41.2
Argentina,ARG,2013,41.0
Argentina,ARG,2014,41.4
Argentina,ARG,2016,42.4
