name,type,value,date
Chile,1,56.20000076,6/2/1980
Ghana,1,35.64999962,6/2/1980
Brazil,1,59.14444478,6/2/1980
Canada,1,31.95000076,6/2/1980
Israel,1,36.5,6/2/1980
Jordan,1,36.09999847,6/2/1980
Mexico,1,48.90000153,6/2/1980
Panama,1,58.90000153,6/2/1980
Rwanda,1,28.89999962,6/2/1980
Turkey,1,43.5,6/2/1980
Uganda,1,44.40000153,6/2/1980
Algeria,1,40.20000076,6/2/1980
Croatia,1,22.79999924,6/2/1980
Ecuador,1,50.5,6/2/1980
Hungary,1,23,6/2/1980
Jamaica,11,43.20000076,6/2/1980
Lesotho,1,56,6/2/1980
Morocco,1,39.20000076,6/2/1980
Nigeria,1,38.70000076,6/2/1980
Romania,1,23.29999924,6/2/1980
Tunisia,1,43.40000153,6/2/1980
Uruguay,1,43,6/2/1980
Botswana,11,54.20000076,6/2/1980
Honduras,1,59.5,6/2/1980
Malaysia,11,47.26666641,6/2/1980
Pakistan,1,33.29999924,6/2/1980
Thailand,1,44.5,6/2/1980
Argentina,1,42.9666659,6/2/1980
Australia,1,32.33333333,6/2/1980
Guatemala,1,58.94999886,6/2/1980
Sri Lanka,1,32.5,6/2/1980
Bangladesh,1,27.19999949,6/2/1980
Costa Rica,1,42.86666743,6/2/1980
Madagascar,1,46.79999924,6/2/1980
Mauritania,1,43.90000153,6/2/1980
Cote d'Ivoire,1,40.22500038,6/2/1980
United States,1,37.5,6/2/1980
"Venezuela, RB",1,51.43333308,6/2/1980
Dominican Republic,1,49.14999962,6/2/1980
Trinidad and Tobago,1,42.59999847,6/2/1980
"Iran, Islamic Rep.",1,47.40000153,6/2/1980
